name,street,city,state,zip,type
F P DONNELLY SCHOOL,PO BOX 250,CONKLIN,NY,13748,OTHER
RICHARD T STANK MIDDLE SCHOOL,PO BOX 225,CONKLIN,NY,13748,OTHER
SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL,PO BOX 275,CONKLIN,NY,13748,OTHER
CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,OTHER
CHENANGO VALLEY HIGH SCHOOL,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,OTHER
CHENANGO BRIDGE ELEMENTARY SCHOOL,741 RIVER RD,BINGHAMTON,NY,13901,OTHER
PORT DICKINSON ELEMENTARY SCHOOL,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,OTHER
CHENANGO VALLEY MIDDLE SCHOOL,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,OTHER
CHILDREN'S UNIT FOR TREATMENT & EVALUATION,4400 VESTAL PARKWAY EAST,BINGHAMTON,NY,13902,OTHER
CHILDREN'S HOME OF WYOMING CONFERENCE,1182 CHENANGO ST,BINGHAMTON,NY,13901,OTHER
MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,712 FARM-TO-MARKET RD,ENDWELL,NY,13760,OTHER
HOMER BRINK SCHOOL,3618 BRIAR LN,ENDWELL,NY,13760,OTHER
MAINE MEMORIAL SCHOOL,PO BOX 218,MAINE,NY,13802,OTHER
MAINE-ENDWELL MIDDLE SCHOOL,1119 FARM-TO-MARKET RD,ENDWELL,NY,13760,OTHER
MAINE-ENDWELL SENIOR HIGH SCHOOL,750 FARM-TO-MARKET RD,ENDWELL,NY,13760,OTHER
DEPOSIT CENTRAL SCHOOL DISTRICT,171 2ND ST,DEPOSIT,NY,13754,OTHER
DEPOSIT ELEMENTARY SCHOOL,171 2ND ST,DEPOSIT,NY,13754,OTHER
DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,171 2ND ST,DEPOSIT,NY,13754,OTHER
ISLAMBERG CHILDREN'S ACADEMY,2732 B-48 ROODS CREEK RD,HANCOCK,NY,13783,OTHER
WHITNEY POINT CENTRAL SCHOOL DISTRICT,PO BOX 249,WHITNEY POINT,NY,13862,OTHER
TIOUGHNIOGA RIVERSIDE ACADEMY,2887 NY RT 11,WHITNEY POINT,NY,13862,OTHER
WHITNEY POINT SENIOR HIGH SCHOOL,PO BOX 249,WHITNEY POINT,NY,13862,OTHER
CARYL E ADAMS PRIMARY SCHOOL,PO BOX 249,WHITNEY POINT,NY,13862,OTHER
